iter	RecallAt:top=10
0	0.9300587181
5	0.9375804172
10	0.9384106326
15	0.9386708164
20	0.9390290854
25	0.9391977086
30	0.9401017973
35	0.9403901313
40	0.9407534441
45	0.940953836
50	0.9420697555
55	0.9419454807
60	0.9419443315
65	0.9419712842
70	0.9419750372
75	0.9421603388
80	0.9423424597
85	0.9425710202
90	0.9426108074
95	0.9429112787
100	0.9430271439
105	0.9432318725
110	0.9433541073
115	0.9436751486
120	0.9436665647
125	0.9436768
130	0.9438812992
135	0.9438549492
140	0.9438224097
145	0.9438325708
150	0.943926053
155	0.9438934612
160	0.9439212698
165	0.9439885283
170	0.9440783345
175	0.944104199
180	0.9440486232
185	0.9440659337
190	0.9442231627
195	0.9443211037
200	0.9444320908
205	0.9446645124
210	0.9447460999
215	0.9449347691
220	0.9448914739
225	0.9450294644
230	0.9450790043
235	0.9450686166
240	0.945043233
245	0.9451555361
250	0.9454440317
255	0.9454733748
260	0.945683854
265	0.9457613716
270	0.9458455026
275	0.9458298624
280	0.9458300143
285	0.9458838249
290	0.9459690234
295	0.9461066216
300	0.9461770246
305	0.946141037
310	0.9462421003
315	0.9462440996
320	0.9463473552
325	0.9464815242
330	0.946483941
335	0.9463467857
340	0.9464926343
345	0.9464630242
350	0.9465500702
355	0.9464796008
360	0.9465335063
365	0.9465581813
370	0.9465733849
375	0.946636281
380	0.9465647579
385	0.9466163097
390	0.9466454263
395	0.9466446101
400	0.9466598137
405	0.9466491465
410	0.94660389
415	0.9465778155
420	0.9466908083
425	0.946733553
430	0.9466867981
435	0.9466771432
440	0.946731889
445	0.9468348599
450	0.9468543722
455	0.9468483932
460	0.9468276662
465	0.9467768229
470	0.9467334202
475	0.9468327657
480	0.9468306778
485	0.9468786486
490	0.946953142
495	0.9469930017
500	0.9471189583
505	0.9471770016
510	0.9472231629
515	0.9472214167
520	0.9473238118
525	0.9473147517
530	0.9473601917
535	0.9473155489
540	0.9473680308
545	0.9473555552
550	0.9473613191
555	0.9473952429
560	0.9473741426
565	0.9474639155
570	0.9475163226
575	0.9474939569
580	0.9475350504
585	0.9475907021
590	0.9475299176
595	0.9475302719
600	0.9474797829
605	0.947541053
610	0.94758357
615	0.9476048285
620	0.9476258213
625	0.9476027026
630	0.9475994897
635	0.9476613292
640	0.9476188122
645	0.9475847796
650	0.9475790905
655	0.9476342246
660	0.9476186983
665	0.9476226842
670	0.9477409347
675	0.9477223335
680	0.94766839
685	0.947636768
690	0.9476873835
695	0.9477754734
700	0.9477850397
705	0.9478047039
710	0.9477977569
715	0.9478148902
720	0.9478306569
725	0.9478426149
730	0.9478283792
735	0.9478351997
740	0.9477833821
745	0.9478631015
750	0.9478126125
755	0.9477444335
760	0.9477867986
765	0.9478973428
770	0.9479155454
775	0.947882329
780	0.9479620484
785	0.9480162576
790	0.9480082857
795	0.948045488
800	0.9480481454
805	0.9481145782
810	0.9481066062
815	0.9481353052
820	0.9482458494
825	0.9483175969
830	0.9483218486
835	0.9483343138
840	0.9484011895
845	0.9483954953
850	0.9484114391
855	0.9484858439
860	0.9485443048
865	0.9485389902
870	0.9485289062
875	0.9485501647
880	0.9485554793
885	0.9485594653
890	0.9486160902
895	0.9486158003
900	0.9486118143
905	0.9487093377
910	0.9486894079
915	0.948646448
920	0.9486953425
925	0.9487443889
930	0.948773999
935	0.9487899429
940	0.9487944983
945	0.9487737333
950	0.948771076
955	0.9488024323
960	0.9488027359
965	0.9488027359
970	0.9488375467
975	0.9488300683
980	0.9488219192
985	0.9488910094
990	0.9489372909
995	0.9488821516
999	0.9488745783
